height,width,time,type,scrollX,scrollY
810,1535,6497.165,scroll,0,1616
810,1535,6519.78,scroll,0,1966
810,1535,6532.455,scroll,0,2322
810,1535,6546.31,scroll,0,2917
810,1535,6569.665,scroll,0,3127
810,1535,6582.07,scroll,0,3290
810,1535,6596.02,scroll,0,3489
810,1535,6619.425,scroll,0,3529
810,1535,6631.86,scroll,0,3547
810,1535,6644.48,scroll,0,3564
810,1535,6669.255,scroll,0,3570
810,1535,6743.74,scroll,0,3553
810,1535,7016.435,mouseup,0,3553
810,1535,7128.435,mousemove,0,3553
810,1535,7140.435,mousemove,0,3553
810,1535,7152.435,mouseout,0,3553
810,1535,7152.435,mouseover,0,3553
810,1535,7152.435,mousemove,0,3553
810,1535,7165.435,mousemove,0,3553
810,1535,7177.435,mousemove,0,3553
810,1535,7189.435,mousemove,0,3553
810,1535,7203.435,mousemove,0,3553
810,1535,7215.435,mouseout,0,3553
810,1535,7215.435,mouseover,0,3553
810,1535,7215.435,mousemove,0,3553
810,1535,7228.435,mousemove,0,3553
810,1535,7240.435,mouseout,0,3553
810,1535,7240.435,mouseover,0,3553
810,1535,7240.435,mousemove,0,3553
810,1535,7253.435,mouseout,0,3553
810,1535,7253.435,mouseover,0,3553
810,1535,7253.435,mousemove,0,3553
810,1535,7264.435,mouseout,0,3553
810,1535,7264.435,mouseover,0,3553
810,1535,7264.435,mousemove,0,3553
810,1535,7276.435,mousemove,0,3553
810,1535,7289.435,mousemove,0,3553
810,1535,7301.435,mousemove,0,3553
810,1535,7313.435,mousemove,0,3553
810,1535,7327.435,mousemove,0,3553
810,1535,7339.435,mousemove,0,3553
810,1535,7352.435,mousemove,0,3553
810,1535,7363.435,mousemove,0,3553
810,1535,7376.435,mousemove,0,3553
810,1535,7388.435,mousemove,0,3553
810,1535,7401.435,mousemove,0,3553
810,1535,7413.435,mousemove,0,3553
810,1535,7426.435,mouseout,0,3553
810,1535,7426.435,mouseover,0,3553
810,1535,7426.435,mousemove,0,3553
810,1535,7438.435,mousemove,0,3553
810,1535,7451.435,mousemove,0,3553
810,1535,7463.435,mousemove,0,3553
810,1535,7476.435,mouseout,0,3553
810,1535,7476.435,mouseover,0,3553
810,1535,7476.435,mousemove,0,3553
810,1535,7489.435,mouseout,0,3553
810,1535,7489.435,mouseover,0,3553
810,1535,7489.435,mousemove,0,3553
810,1535,7500.435,mousemove,0,3553
810,1535,7512.435,mouseout,0,3553
810,1535,7512.435,mouseover,0,3553
810,1535,7512.435,mousemove,0,3553
810,1535,7525.435,mousemove,0,3553
810,1535,7537.435,mouseout,0,3553
810,1535,7537.435,mouseover,0,3553
810,1535,7537.435,mousemove,0,3553
810,1535,7550.435,mousemove,0,3553
810,1535,7562.435,mouseout,0,3553
810,1535,7562.435,mouseover,0,3553
810,1535,7562.435,mousemove,0,3553
810,1535,7575.435,mouseout,0,3553
810,1535,7575.435,mouseover,0,3553
810,1535,7575.435,mousemove,0,3553
810,1535,7587.435,mousemove,0,3553
810,1535,7600.435,mousemove,0,3553
810,1535,7613.435,mousemove,0,3553
810,1535,7625.435,mousemove,0,3553
810,1535,7638.435,mouseout,0,3553
810,1535,7638.435,mouseover,0,3553
810,1535,7638.435,mousemove,0,3553
810,1535,7650.435,mousemove,0,3553
810,1535,7663.435,mouseout,0,3553
810,1535,7663.435,mouseover,0,3553
810,1535,7663.435,mousemove,0,3553
810,1535,7674.435,mousemove,0,3553
810,1535,7687.435,mousemove,0,3553
810,1535,7699.435,mousemove,0,3553
810,1535,7712.435,mousemove,0,3553
810,1535,7724.435,mousemove,0,3553
810,1535,7736.435,mousemove,0,3553
810,1535,7749.435,mousemove,0,3553
810,1535,7761.435,mousemove,0,3553
810,1535,7774.435,mousemove,0,3553
810,1535,7786.435,mousemove,0,3553
810,1535,7799.435,mousemove,0,3553
810,1535,7811.435,mousemove,0,3553
810,1535,7824.435,mousemove,0,3553
810,1535,7910.435,mousemove,0,3553
810,1535,7923.435,mousemove,0,3553
810,1535,7935.435,mousemove,0,3553
810,1535,7948.435,mousemove,0,3553
810,1535,7960.435,mousemove,0,3553
810,1535,7973.435,mousemove,0,3553
810,1535,7986.435,mousemove,0,3553
810,1535,7998.435,mouseout,0,3553
810,1535,7998.435,mouseover,0,3553
810,1535,7998.435,mousemove,0,3553
810,1535,8011.435,mousemove,0,3553
810,1535,8023.435,mousemove,0,3553
810,1535,8036.435,mousemove,0,3553
810,1535,8047.435,mousemove,0,3553
810,1535,8060.435,mousemove,0,3553
810,1535,8072.435,mousemove,0,3553
810,1535,8085.435,mousemove,0,3553
810,1535,8097.435,mousemove,0,3553
810,1535,8110.435,mousemove,0,3553
810,1535,8309.435,mousemove,0,3553
810,1535,8321.435,mousemove,0,3553
810,1535,8333.435,mousemove,0,3553
810,1535,8345.435,mousemove,0,3553
810,1535,8346.435,mousedown,0,3553
810,1535,8358.435,mousemove,0,3553
810,1535,8358.435,mouseup,0,3553
810,1535,8358.435,click,0,3553
810,1535,8370.435,mousemove,0,3553
810,1535,8383.435,mousemove,0,3553
810,1535,8395.435,mousemove,0,3553
810,1535,8408.435,mousemove,0,3553
810,1535,8420.435,mousemove,0,3553
810,1535,8433.435,mousemove,0,3553
810,1535,8457.435,mousemove,0,3553
810,1535,8594.435,mousemove,0,3553
810,1535,8694.435,mousedown,0,3553
810,1535,8730.435,mouseup,0,3553
810,1535,8730.435,click,0,3553
810,1535,8980.435,mousemove,0,3553
810,1535,8992.435,mousemove,0,3553
810,1535,9005.435,mousemove,0,3553
810,1535,9018.435,mousemove,0,3553
810,1535,9042.435,mousemove,0,3553
810,1535,9054.435,mousemove,0,3553
810,1535,9067.435,mousemove,0,3553
810,1535,9079.435,mousemove,0,3553
810,1535,9091.435,mousemove,0,3553
810,1535,9104.435,mouseout,0,3553
810,1535,9104.435,mouseover,0,3553
810,1535,9104.435,mousemove,0,3553
810,1535,9117.435,mousemove,0,3553
810,1535,9129.435,mousemove,0,3553
810,1535,9142.435,mousemove,0,3553
810,1535,9166.435,mousemove,0,3553
810,1535,9241.435,mousedown,0,3553
810,1535,9244.595,focusin,0,3553
810,1535,9278.435,mouseup,0,3553
810,1535,9300.005,scroll,0,3551
810,1535,9312.64,scroll,0,3541
810,1535,9338.67,scroll,0,3521
810,1535,9364.695,scroll,0,3493
810,1535,9390.71,scroll,0,3476
810,1535,9403.705,scroll,0,3456
810,1535,9416.615,scroll,0,3435
810,1535,9430.735,scroll,0,3385
810,1535,9455.685,scroll,0,3357
810,1535,9468.62,scroll,0,3327
810,1535,9481.605,scroll,0,3262
810,1535,9507.695,scroll,0,3227
810,1535,9520.65,scroll,0,3190
810,1535,9533.63,scroll,0,3151
810,1535,9548.025,scroll,0,3068
810,1535,9572.66,scroll,0,3025
810,1535,9585.645,scroll,0,2980
810,1535,9598.895,scroll,0,2887
810,1535,9624.675,scroll,0,2838
810,1535,9637.68,scroll,0,2788
810,1535,9650.595,scroll,0,2738
810,1535,9665.63,scroll,0,2633
810,1535,9689.78,scroll,0,2580
810,1535,9702.905,scroll,0,2526
810,1535,9715.69,scroll,0,2417
810,1535,9741.695,scroll,0,2361
810,1535,9754.62,scroll,0,2306
810,1535,9767.64,scroll,0,2250
810,1535,9782.745,scroll,0,2138
810,1535,9806.645,scroll,0,2082
810,1535,9819.635,scroll,0,2026
810,1535,9832.575,scroll,0,1916
810,1535,9858.7,scroll,0,1861
810,1535,9871.675,scroll,0,1807
810,1535,9887.435,mousemove,0,1753
810,1535,9884.67,scroll,0,1753
810,1535,9899.435,mousemove,0,1696
810,1535,9898.915,scroll,0,1648
810,1535,9924.435,mousemove,0,1597
810,1535,9923.675,scroll,0,1597
810,1535,9936.435,mousemove,0,1547
810,1535,9936.72,scroll,0,1547
810,1535,9948.435,mousemove,0,1498
810,1535,9961.435,mouseout,0,1450
