height,width,time,type,scrollX,scrollY
810,1535,824.55,mouseover,0,0
810,1535,824.55,mousemove,0,0
810,1535,837.55,mousemove,0,0
810,1535,850.55,mousemove,0,0
810,1535,862.55,mousemove,0,0
810,1535,874.55,mousemove,0,0
810,1535,887.55,mousemove,0,0
810,1535,899.55,mousemove,0,0
810,1535,911.55,mousemove,0,0
810,1535,924.55,mousemove,0,0
810,1535,936.55,mousemove,0,0
810,1535,949.55,mouseout,0,0
810,1535,949.55,mouseover,0,0
810,1535,949.55,mousemove,0,0
810,1535,961.55,mouseout,0,0
810,1535,961.55,mouseover,0,0
810,1535,961.55,mousemove,0,0
810,1535,1582.55,mousemove,0,0
810,1535,1607.55,mousemove,0,0
810,1535,1619.55,mousemove,0,0
810,1535,1632.55,mouseout,0,0
810,1535,1632.55,mousemove,0,0
810,1535,1632.55,mouseover,0,0
810,1535,1644.55,mousemove,0,0
810,1535,1657.55,mousemove,0,0
810,1535,1669.55,mouseout,0,0
810,1535,1669.55,mousemove,0,0
810,1535,1669.55,mouseover,0,0
810,1535,1682.55,mouseout,0,0
810,1535,1682.55,mousemove,0,0
810,1535,1682.55,mouseover,0,0
810,1535,1694.55,mousemove,0,0
810,1535,1706.55,mousemove,0,0
810,1535,1719.55,mousemove,0,0
810,1535,1731.55,mousemove,0,0
810,1535,1744.55,mousemove,0,0
810,1535,1756.55,mouseout,0,0
810,1535,1756.55,mouseover,0,0
810,1535,1756.55,mousemove,0,0
810,1535,1768.55,mousemove,0,0
810,1535,2570.765,scroll,0,5
810,1535,2587.19,scroll,0,19
810,1535,2603.845,scroll,0,48
810,1535,2619.93,scroll,0,102
810,1535,2637.435,scroll,0,183
810,1535,2653.56,scroll,0,290
810,1535,2670.125,scroll,0,399
810,1535,2686.875,scroll,0,497
810,1535,2703.38,scroll,0,583
810,1535,2720.55,scroll,0,657
810,1535,2737.26,scroll,0,719
810,1535,2754.335,scroll,0,768
810,1535,2770.44,scroll,0,805
810,1535,2787.735,scroll,0,833
810,1535,2803.94,scroll,0,854
810,1535,2820.805,scroll,0,873
810,1535,2837.8,scroll,0,888
810,1535,2853.555,scroll,0,902
810,1535,2870.44,scroll,0,915
810,1535,2887.36,scroll,0,927
810,1535,2903.615,scroll,0,938
810,1535,2920.97,scroll,0,949
810,1535,2937.63,scroll,0,960
810,1535,2953.835,scroll,0,971
810,1535,2970.935,scroll,0,981
810,1535,2987.205,scroll,0,992
810,1535,3003.855,scroll,0,1004
810,1535,3021.4,scroll,0,1015
810,1535,3038.29,scroll,0,1027
810,1535,3054.435,scroll,0,1038
810,1535,3071.265,scroll,0,1050
810,1535,3087.46,scroll,0,1062
810,1535,3104.095,scroll,0,1073
810,1535,3121.42,scroll,0,1085
810,1535,3138.3,scroll,0,1096
810,1535,3154.655,scroll,0,1106
810,1535,3171.485,scroll,0,1117
810,1535,3188.11,scroll,0,1126
810,1535,3204.55,scroll,0,1136
810,1535,3221.295,scroll,0,1144
810,1535,3238.11,scroll,0,1152
810,1535,3254.415,scroll,0,1160
810,1535,3271.495,scroll,0,1166
810,1535,3288.675,scroll,0,1172
810,1535,3305.31,scroll,0,1176
810,1535,3321.135,scroll,0,1179
810,1535,3337.5,scroll,0,1180
810,1535,3372.62,scroll,0,1181
810,1535,3473.05,mouseout,0,1181
810,1535,3473.05,mouseover,0,1181
810,1535,3473.05,mousemove,0,1181
810,1535,8858.01,scroll,0,1180
810,1535,8874.615,scroll,0,1178
810,1535,8897.215,scroll,0,1167
810,1535,8913.12,scroll,0,1150
810,1535,8929.655,scroll,0,1116
810,1535,8946.405,scroll,0,1041
810,1535,8963.01,scroll,0,914
810,1535,8980.38,scroll,0,763
810,1535,8997.04,scroll,0,606
810,1535,9013.205,scroll,0,460
810,1535,9029.855,scroll,0,333
810,1535,9046.615,scroll,0,227
810,1535,9063.82,scroll,0,141
810,1535,9080.72,scroll,0,72
810,1535,9097.275,scroll,0,22
810,1535,9113.86,scroll,0,1
810,1535,9130.965,scroll,0,0
810,1535,9231.085,mouseout,0,0
810,1535,9231.085,mousemove,0,0
810,1535,9231.085,mouseover,0,0
810,1535,10346.615,scroll,0,2
810,1535,10363.835,scroll,0,8
810,1535,10382.04,scroll,0,23
810,1535,10399.3,scroll,0,51
810,1535,10415.45,scroll,0,105
810,1535,10432.125,scroll,0,182
810,1535,10448.845,scroll,0,252
810,1535,10465.365,scroll,0,308
810,1535,10482.615,scroll,0,347
810,1535,10498.93,scroll,0,369
810,1535,10516.265,scroll,0,378
810,1535,10533.005,scroll,0,381
810,1535,10633.105,mouseout,0,381
810,1535,10633.105,mouseover,0,381
810,1535,10633.105,mousemove,0,381
810,1535,10699.07,scroll,0,385
810,1535,10716.26,scroll,0,396
810,1535,10732.865,scroll,0,419
810,1535,10749.865,scroll,0,467
810,1535,10766.205,scroll,0,550
810,1535,10782.8,scroll,0,666
810,1535,10799.425,scroll,0,797
810,1535,10816.665,scroll,0,929
810,1535,10833.595,scroll,0,1050
810,1535,10849.89,scroll,0,1156
810,1535,10866.11,scroll,0,1246
810,1535,10883.06,scroll,0,1318
810,1535,10900.4,scroll,0,1375
810,1535,10916.385,scroll,0,1417
810,1535,10933.66,scroll,0,1449
810,1535,10949.685,scroll,0,1473
810,1535,10967.12,scroll,0,1493
810,1535,10983.49,scroll,0,1511
810,1535,10999.91,scroll,0,1527
810,1535,11016.22,scroll,0,1542
810,1535,11032.915,scroll,0,1556
810,1535,11049.62,scroll,0,1570
810,1535,11067.13,scroll,0,1584
810,1535,11084.01,scroll,0,1598
810,1535,11099.51,scroll,0,1613
810,1535,11117.05,scroll,0,1628
810,1535,11133.08,scroll,0,1643
810,1535,11150.66,scroll,0,1658
810,1535,11166.765,scroll,0,1673
810,1535,11183.64,scroll,0,1688
810,1535,11200.67,scroll,0,1706
810,1535,11217.855,scroll,0,1731
810,1535,11233.695,scroll,0,1773
810,1535,11250.67,scroll,0,1849
810,1535,11266.645,scroll,0,1960
810,1535,11283.44,scroll,0,2089
810,1535,11300.22,scroll,0,2226
810,1535,11316.705,scroll,0,2346
810,1535,11333.635,scroll,0,2442
810,1535,11350.205,scroll,0,2511
810,1535,11367.29,scroll,0,2555
810,1535,11384.35,scroll,0,2581
810,1535,11401.09,scroll,0,2601
810,1535,11417.58,scroll,0,2617
810,1535,11433.425,scroll,0,2630
810,1535,11450.98,scroll,0,2643
810,1535,11467.19,scroll,0,2655
810,1535,11483.84,scroll,0,2667
810,1535,11501.23,scroll,0,2678
810,1535,11517.32,scroll,0,2690
810,1535,11534.49,scroll,0,2702
810,1535,11550.62,scroll,0,2714
810,1535,11567.89,scroll,0,2727
810,1535,11583.97,scroll,0,2741
810,1535,11600.79,scroll,0,2755
810,1535,11618.055,scroll,0,2769
810,1535,11634.67,scroll,0,2784
810,1535,11650.575,scroll,0,2799
810,1535,11667.79,scroll,0,2814
810,1535,11683.945,scroll,0,2829
810,1535,11700.585,scroll,0,2844
810,1535,11717.4,scroll,0,2860
810,1535,11734.89,scroll,0,2874
810,1535,11750.885,scroll,0,2889
810,1535,11767.475,scroll,0,2903
810,1535,11784.885,scroll,0,2916
810,1535,11800.835,scroll,0,2928
810,1535,11818.35,scroll,0,2939
810,1535,11822.55,mouseout,0,2939
810,1535,11822.55,mousemove,0,2939
810,1535,11822.55,mouseover,0,2939
810,1535,11834.715,scroll,0,2948
810,1535,11834.55,mousemove,0,2948
810,1535,11847.55,mousemove,0,2948
810,1535,11851.475,scroll,0,2954
810,1535,11859.55,mouseout,0,2954
810,1535,11859.55,mouseover,0,2954
810,1535,11859.55,mousemove,0,2954
810,1535,11868.165,scroll,0,2959
810,1535,11872.55,mousemove,0,2959
810,1535,11885.155,scroll,0,2962
810,1535,11884.55,mousemove,0,2962
810,1535,11897.55,mousemove,0,2962
810,1535,11901.075,scroll,0,2964
810,1535,11909.55,mousemove,0,2964
810,1535,11917.63,scroll,0,2965
810,1535,11921.55,mousemove,0,2965
810,1535,11934.55,mousemove,0,2965
810,1535,11946.55,mousemove,0,2965
810,1535,11951.15,scroll,0,2966
810,1535,11959.55,mousemove,0,2966
810,1535,14902.225,scroll,0,2968
810,1535,14939.515,scroll,0,3035
810,1535,14956,scroll,0,3180
810,1535,14972.725,scroll,0,3388
810,1535,14989.395,scroll,0,3585
810,1535,15006.19,scroll,0,3706
810,1535,15022.925,scroll,0,3740
810,1535,15123.05,mouseout,0,3740
810,1535,15123.05,mousemove,0,3740
810,1535,15123.05,mouseover,0,3740
810,1535,15789.75,scroll,0,3739
810,1535,15806.895,scroll,0,3728
810,1535,15841.305,scroll,0,3628
810,1535,15857.605,scroll,0,3519
